typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2111344105.752","0","2111344105.752","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2820152021.931","2820152021.931","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2426976824",,"2426976824","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1987627225","1987627225","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","124","CAN","Canada","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","479396722",,"479396722","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"987767710","987767710","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","124","CAN","Canada","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1460894036.033","0","1460894036.033","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","124","CAN","Canada","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1380739853.383","1380739853.383","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","208","DNK","Denmark","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","601476642",,"601476642","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","208","DNK","Denmark","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"785787700","785787700","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","208","DNK","Denmark","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1357470156.808","0","1357470156.808","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","208","DNK","Denmark","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2210928993.356","2210928993.356","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","246","FIN","Finland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","587926039",,"587926039","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","246","FIN","Finland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"671342609","671342609","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","246","FIN","Finland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1472225563.872","0","1472225563.872","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","246","FIN","Finland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1537789873.995","1537789873.995","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4285708759",,"4285708759","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6037148442","6037148442","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","34965584042.088","0","34965584042.088","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","44769298607.1","44769298607.1","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","59429399372",,"59429399372","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","276","DEU","Germany","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"45740024513","45740024513","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","276","DEU","Germany","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","45216161169.212","0","45216161169.212","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","276","DEU","Germany","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","45633740119.157","45633740119.157","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","300","GRC","Greece","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","182176332",,"182176332","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","300","GRC","Greece","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"678733767","678733767","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","300","GRC","Greece","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","226933204.157","0","226933204.157","4","false","true",
