,PRT,ESP,NOR,GRC,SWE,NLD,DNK,DEU,CAN,FIN,LUX,GBR,USA,CHE,AUT,IRL,FRA,ITA,BEL,POL,HUN,KOR,ISR
PRT,0.0,0.05764301092728329,0.015108501029426234,0.061810377760581015,0.05510613578763189,0.040775726267026184,0.02396298239299089,0.05392320020614364,0.03544757799157609,0.037975598074743315,0.040546513121424,0.049669799564057905,0.04030860146213374,0.057572207481160605,0.04674817774636077,0.03127457265346579,0.04732660180171715,0.05933694696685624,0.035404141401678794,0.05918224991299441,0.051566490827082895,0.0493348302129556,0.04997575641070949
ESP,0.05727083447653472,0.0,0.01217197702124734,0.05396564689741835,0.04637678941129871,0.04200723765974653,0.037493115685471805,0.050998400369407136,0.031822300644119575,0.03636346329501282,0.051116215943519276,0.040616957453112223,0.0530925758025634,0.05406844930839054,0.05095630351071644,0.04266143250436863,0.05660284516850315,0.060506626969406604,0.046318195060958085,0.04550392431735856,0.04559225981314577,0.04313932098705497,0.041355127700645485
NOR,0.04345476205139468,0.035236297495425686,0.0,0.04142150090584434,0.06454631910266308,0.042721137067282984,0.06404006411987066,0.025430542261296596,0.0793639872575256,0.06744109036994764,0.0339543546994731,0.049342049616850445,0.04996043062446167,0.08309317290210531,0.02689093865727844,0.021861783049145163,0.024219417338777742,0.03236145876013589,0.03329180320884801,0.04928778050128816,0.03737713881768524,0.044837945359733004,0.04986602583296675
GRC,0.06629734584273425,0.058259302160057654,0.01544701535055792,0.0,0.05389090939270972,0.0336649131096103,0.020638918016868266,0.05615006950067575,0.02498529423384429,0.02885170131978188,0.033636168275363525,0.052508853474769294,0.03678603134574211,0.06188208215218701,0.044460281425081315,0.016923140951085706,0.044802161295763185,0.06453700370411493,0.0308497181226764,0.06892451244704838,0.0649784150582357,0.058116804504568756,0.06340935831652368
SWE,0.05844783937865899,0.049508791995008114,0.023802577419043975,0.05329043573241446,0.0,0.03589901962097416,0.02802504812908848,0.048437405185842844,0.05003452063984645,0.049513154653958724,0.044645169224206,0.055395680284761106,0.0417349134192231,0.05788585366927741,0.045542392538253554,0.02832150337310188,0.052143625258518456,0.05349507470047589,0.04232194630848413,0.05149955324884768,0.04188604861851929,0.04474524268457922,0.04342420391691625
NLD,0.05715919259220743,0.05926818813334334,0.020821460342129994,0.04399741226561259,0.04744587556047897,0.0,0.048863364174122605,0.0550806868395772,0.02732220832079816,0.05581821289047317,0.04906862890938761,0.037552894821752496,0.03660221179311047,0.042644087051531845,0.05383963566249388,0.04967556640202124,0.04906176890928517,0.05515052442515552,0.048532754297824394,0.03951711276268972,0.03761012141753442,0.04423801912872063,0.040730073299748974
DNK,0.03871839523138356,0.06097350468959184,0.03597594747557997,0.031090568383063504,0.04269277099624701,0.05632166225620624,0.0,0.02689239656770861,0.0475631503874528,0.0664735406620884,0.06172938135760843,0.04150747073850377,0.06199641438141927,0.03896387064098635,0.037029664987814556,0.05715745357571052,0.06388473095415016,0.04900196552749938,0.07234869100583802,0.017366073683023276,0.026282995604079377,0.0361777772905261,0.029851573603518873
DEU,0.06025230087783934,0.05735452379188804,0.009879559946004045,0.0584942977443849,0.05102821115146343,0.04390489514730847,0.018597347426470536,0.0,0.021822261364924395,0.04404411789837869,0.05230395978408709,0.049199014134048355,0.04136249704556673,0.05881019786861755,0.0621703995790604,0.027601830898879187,0.05263044450499483,0.05645344526960586,0.045106762411326023,0.053133915046806174,0.04479623369139632,0.04534361580206307,0.04571016861488648
CAN,0.052975982358191405,0.04786710620221489,0.04123822208085369,0.034813058183354,0.07050074268393995,0.02912888560782719,0.0439933045103197,0.029187320532052398,0.0,0.05676800382382423,0.052773211105281624,0.05529997045916851,0.06692219326178202,0.06104416353268742,0.039447972630871464,0.04825657348110126,0.06154018279907977,0.042926845143050334,0.048836374016229485,0.0342640736164806,0.026035863907438613,0.03244242566461814,0.023737524399633277
FIN,0.047974907622812625,0.04623681503833953,0.029622254609732362,0.033981786595499996,0.05897414037018749,0.05030383230733785,0.05197348713627045,0.04979657393994012,0.04798667911327653,0.0,0.06045141948095454,0.05432304556596096,0.048812170082545264,0.04701247884235239,0.057430751275455515,0.048531278279730534,0.052042816759702584,0.041802222152981836,0.06063790321115999,0.03231003823460875,0.021864285197183312,0.0344205097861619,0.02351060439780543
LUX,0.04919055240680883,0.06241658886138447,0.014322131965388805,0.03804520773224709,0.05106627241505791,0.04246662333493931,0.04634934829582447,0.05678907297422267,0.042839979673994756,0.058053066587182,0.0,0.038208076474461075,0.062393024447730656,0.05013566504022376,0.0666600616538292,0.04734720138203141,0.06720033427683939,0.04836104262925809,0.06891776381858503,0.026336865374887206,0.018710153848958994,0.02819723272302367,0.015993734083121044
GBR,0.057843113988173885,0.04760798411091789,0.01997838811187421,0.057010788682077755,0.0608228343510748,0.03119739259559741,0.02991638048506905,0.051276418152128016,0.04309150922598839,0.05007648569836214,0.03667636148675025,0.0,0.04010286561137889,0.058896947217231245,0.045365487904644425,0.01239101022920021,0.049860713993210425,0.055762846197440236,0.04130597097938869,0.0575227630357367,0.04702722245377052,0.05237545940989201,0.05389105608009282
USA,0.047854378708713015,0.06344112771189626,0.020622158824702422,0.040716659880741475,0.04671485072974545,0.03099894412005509,0.0455526916825419,0.04394735314099275,0.05316204340178342,0.04587145786682731,0.061056485572147774,0.04088274999585991,0.0,0.054195523370615326,0.05336175130135697,0.051064686281990575,0.06335309345993329,0.05013654339479168,0.05885035052721269,0.033359807178292816,0.03319474998348452,0.03395928339227011,0.027703309474045423
CHE,0.059044060891911325,0.05581107635567668,0.029628705872054246,0.05916890216050581,0.055971542631062216,0.031198791981515293,0.024731414160754722,0.05397815059593415,0.0418904506699846,0.03816514912578778,0.04238204713940885,0.05186768499671104,0.04681691584545668,0.0,0.046058721995164024,0.025952430204012222,0.049373313308481284,0.05525957116254426,0.035717366507374844,0.05604191232273101,0.049024151197484246,0.04475437314783249,0.04716326772761217
AUT,0.053778888607660474,0.05900084050679706,0.010755660876533967,0.04768530878917127,0.04939630631557069,0.04418398351239538,0.0263645546175585,0.06400778775507718,0.030365425587087116,0.05229764212209995,0.0632098354362291,0.044813974691096,0.051707466434702566,0.051664910562980025,0.0,0.034643399527377036,0.058749737339507876,0.05423670614986604,0.05929375600557145,0.0420631006188158,0.031823788208744055,0.03833678952305296,0.03162013681210549
IRL,0.05339494062746802,0.07330900157588416,0.012977119575149606,0.026937355090283156,0.04558862813982422,0.060501643348966294,0.06039557440607829,0.042174373239457906,0.055128065492634194,0.06558747768604377,0.06663077274003618,0.01816586915165013,0.07343539582017414,0.04320394634069579,0.05141408249432458,0.0,0.0673490810590793,0.04851877171451561,0.06377093096464058,0.01383448502197305,0.02227656544852666,0.028292448111866538,0.007113471950727746
FRA,0.05060417814965573,0.06091615210233765,0.009003860283965605,0.044662730959663,0.05256707022652434,0.03742311000755925,0.04227675490309308,0.05036398831805474,0.04402986805192505,0.0440486216719644,0.0592276225368126,0.04578047448769494,0.05705910141933836,0.051476615970267245,0.05460593492149352,0.04217975031749352,0.0,0.056503607055995116,0.06027713072065653,0.034071872863074115,0.03218322599409646,0.04053336792621481,0.030204961112119816
ITA,0.05991993623448403,0.061498176032475864,0.011362090337796258,0.06076034057152253,0.0509320832702798,0.039729345596038544,0.030625498451229555,0.05101978443793836,0.029005654203035858,0.03341457867956433,0.04025442368464852,0.04835393477077674,0.04264583107474326,0.05441145234261605,0.04760935697296303,0.028697708474237905,0.053363126234279336,0.0,0.03906045290281827,0.0567700630221916,0.05821243277479737,0.05040807224045487,0.05194565769110801
BEL,0.04413643049290278,0.05811763247458033,0.014429937879496185,0.03585581481584105,0.049743950078698855,0.04316121868198943,0.05582096475617045,0.05032535174100406,0.040737474291667936,0.059838099406501144,0.07081840320498271,0.044217757966050826,0.061797120950503576,0.043416942157779664,0.06425470973106691,0.04656473905611446,0.0702772335612108,0.04822078425722226,0.0,0.024298242801859462,0.01946439908226647,0.03447199570502974,0.020030796907060718
POL,0.06961538827717809,0.05387357267196163,0.020157517346609637,0.07558797949173571,0.05711481000434238,0.03316000627186519,0.012642673940707817,0.05593551199399094,0.026968719148590198,0.030084425687441112,0.025535812122255856,0.05810242504784869,0.0330531883152327,0.06427815268357383,0.04300984969569899,0.009531649232224555,0.03748251561583508,0.06612824683493916,0.0229269088999728,0.0,0.07298093034606774,0.0612285405342282,0.07060117583769966
